                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2982,                 1.4074,                 1.0234,                0.71377,                0.62992,                 0.6085,                0.38741,                 1.2031,                  1.089,                 1.0814,             0.00066431,             0.00066431,             0.00066431
                      2,                 1.2696,                0.93151,                 1.0276,                0.85045,                0.73244,                0.82211,                0.53224,                 1.1804,                0.84796,                 1.0237,              0.0012783,              0.0012783,              0.0012783
                      3,                 1.2616,                0.89133,                 1.0278,                0.87061,                0.72893,                0.83346,                0.56126,                 1.1202,                0.78863,                 1.0228,              0.0018394,              0.0018394,              0.0018394
                      4,                 1.2246,                0.84676,                  1.015,                0.86749,                 0.7448,                0.85038,                0.57418,                 1.1064,                0.73123,                 1.0321,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.1696,                0.78721,                0.99658,                0.88018,                0.75843,                0.86621,                0.58018,                 1.1031,                0.70108,                  1.018,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.1688,                0.77919,                 1.0021,                0.91039,                0.75623,                0.85786,                0.60651,                 1.0199,                0.66396,                0.98885,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.1248,                0.75114,                0.98399,                0.83737,                0.74579,                0.84132,                0.56387,                 1.0983,                0.72958,                 1.0172,               0.001604,               0.001604,               0.001604
                      8,                 1.1115,                0.71872,                0.97833,                0.90985,                0.77253,                0.87828,                0.59313,                 1.0391,                0.64047,                 1.0025,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.0968,                0.71404,                0.97472,                0.89186,                0.76475,                0.87293,                0.60126,                 1.0411,                0.66279,                0.99798,              0.0014456,              0.0014456,              0.0014456
                     10,                  1.064,                0.68364,                0.96858,                 0.9156,                0.76475,                0.87998,                0.63174,                0.96564,                0.60714,                0.96898,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.0495,                0.67026,                0.95957,                0.89193,                0.80056,                0.89099,                 0.6465,                 0.9451,                0.60491,                0.96677,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.0388,                0.65879,                0.95768,                0.90973,                0.79846,                0.89297,                0.64847,                0.94539,                0.57784,                0.96173,               0.001208,               0.001208,               0.001208
                     13,                 1.0309,                0.64245,                0.95108,                0.92838,                0.79213,                0.89915,                0.65301,                0.92527,                0.56466,                0.94685,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0165,                0.63445,                0.94328,                0.88745,                 0.8084,                0.89649,                0.63912,                0.96793,                 0.5709,                0.96023,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.0097,                0.62424,                0.94382,                0.93293,                0.78792,                0.89446,                0.63364,                0.97889,                0.56584,                0.96722,              0.0009704,              0.0009704,              0.0009704
                     16,                0.98262,                0.62104,                0.95934,                0.91443,                0.81051,                0.90929,                0.65427,                0.94544,                0.56347,                0.95317,              0.0008912,              0.0008912,              0.0008912
                     17,                0.96086,                0.59983,                  0.953,                0.91686,                0.79565,                0.90775,                0.65315,                0.94169,                0.55522,                0.95262,               0.000812,               0.000812,               0.000812
                     18,                0.95638,                0.58166,                0.94567,                 0.9179,                0.80865,                0.90755,                0.67211,                0.89268,                0.53923,                 0.9445,              0.0007328,              0.0007328,              0.0007328
                     19,                0.94763,                0.57491,                0.94242,                0.90018,                0.82956,                0.91691,                0.67904,                0.88466,                0.51912,                0.93883,              0.0006536,              0.0006536,              0.0006536
                     20,                0.93678,                0.56739,                0.93863,                0.88736,                0.83006,                0.91437,                0.65828,                0.92874,                0.53444,                0.95811,              0.0005744,              0.0005744,              0.0005744
                     21,                0.92172,                0.54752,                0.93307,                0.90479,                0.80749,                0.91139,                0.66233,                0.91218,                0.53202,                0.93808,              0.0004952,              0.0004952,              0.0004952
                     22,                0.91214,                0.54339,                0.93027,                0.90901,                0.83485,                0.92113,                0.68557,                0.85956,                0.50763,                0.92092,               0.000416,               0.000416,               0.000416
                     23,                0.89798,                0.52425,                0.92294,                0.90846,                0.82936,                0.92155,                0.67151,                0.90418,                0.51359,                0.93992,              0.0003368,              0.0003368,              0.0003368
                     24,                0.88081,                0.51721,                0.91841,                0.88823,                0.85941,                0.92426,                0.68003,                0.87381,                0.50162,                0.93775,              0.0002576,              0.0002576,              0.0002576
                     25,                0.87937,                0.50326,                0.91857,                 0.9099,                0.85042,                0.92746,                0.68965,                0.85633,                0.48746,                0.92444,              0.0001784,              0.0001784,              0.0001784
